row;nombre;marca;cantidad;unidad;precio;tipo
208;Jamon;Colanta;150;g;3490;integer
1;Leche Deslactosada;Alpina;6600;ml;21990;integer
2;Leche Deslactosada;Alqueria;6600;ml;19990;integer
3;Leche Entera;Alqueria;6600;ml;18990;integer
4;Leche Entera;Alpina;6600;ml;20990;integer
5;Leche Entera;Maxima;5400;ml;11390;integer
213;Lechuga;Jumbo;190;g;3580;integer
214;Lechuga;Makand;200;g;2280;integer
215;Lechuga;Cuisine & Co;150;g;1790;integer
173;Lenteja;Diana;500;g;2150;integer
174;Lenteja;Maritza;500;g;2150;integer
65;Lomo de Atun;Pesco;400;g;31400;integer
77;Lomo de Atun;Vitamar;400;g;22500;integer
183;Mantequilla;Rama;125;g;1950;integer
184;Mantequilla;Alpina;500;g;16390;integer
185;Mantequilla;Alpina;250;g;9190;integer
186;Mantequilla;Rama;250;g;5190;integer
187;Mantequilla;Rama;500;g;8990;integer
188;Mantequilla;Colanta;250;g;6990;integer
189;Mantequilla;Colanta;125;g;3990;integer
190;Mantequilla;Alpina;125;g;5190;integer
209;Manzana;Kagi;6;unidad;10980;integer
75;Merluza;Vitamar;350;g;14400;integer
52;Milanesa Res;Jumbo;500;g;9480;integer
64;Mojarra;Pesquera del mar;450;g;19000;integer
74;Mojarra;Vitamar;315;g;19400;integer
76;Mojarra;Pesquera del mar;800;g;26800;integer
217;Mora;Freskifruta;500;g;9280;integer
17;Pan Sandwich;Bimbo;600;g;4890;integer
18;Pan Sandwich;Bimbo;350;g;3590;integer
19;Pan Sandwich;Comapan;750;g;5390;integer
20;Pan Sandwich;Guadalupe;550;g;3890;integer
21;Pan Sandwich Integral;Bimbo;500;g;6590;integer
22;Pan Sandwich Integral;Pan Factory;700;g;8790;integer
23;Pan Sandwich Integral;Vivalight;500;g;11590;integer
24;Pan Sandwich Integral;Country;500;g;5390;integer
218;Papa;Maxima;2500;g;6470;integer
212;Papaya;Jumbo;1000;g;3058;integer
210;Pera;Jumbo;500;g;14278;integer
57;Pernil con piel;Jumbo;500;g;3915;integer
58;Pollo entero;Jumbo;2500;g;15250;integer
59;Pollo sin visceras;Bucanero;1500;g;15510;integer
44;Punta de Anca;Jumbo;1000;g;30900;integer
136;Queso Campesino;Alpina;250;g;6790;integer
145;Queso Campesino;Colanta;250;g;5390;integer
139;Queso Doble Crema;Colanta;1000;g;25990;integer
140;Queso Doble Crema;Maxima;2000;g;31990;integer
148;Queso Doble Crema;Colanta;500;g;12590;integer
135;Queso Mozzarella;Alpina;250;g;7790;integer
138;Queso Mozzarella;Colanta;450;g;12990;integer
141;Queso Mozzarella;Colanta;250;g;8190;integer
142;Queso Mozzarella;Alpina;1000;g;29990;integer
144;Queso Mozzarella;Colanta;1000;g;23590;integer
137;Queso Parmesano;Alpina;100;g;8190;integer
143;Queso Parmesano;Alpina;500;g;37990;integer
146;Queso Parmesano;Alpina;40;g;3390;integer
147;Queso Parmesano;Colanta;250;g;16590;integer
73;Robalo;Antillana;450;g;33600;integer
79;Robalo;Ancla & Viento;450;g;36300;integer
81;Robalo;Vitamar;405;g;36900;integer
83;Robalo;Ancla & Viento;300;g;29931;integer
84;Robalo;Pesco;425;g;32900;integer
123;Sal;Refisal;500;g;790;integer
124;Sal;Refisal;1000;g;1550;integer
125;Sal;Refisal;3000;g;3790;integer
60;Salmon;Ancla & Viento;450;g;40300;integer
